group,variable,value
Hostility/ Bullying,Lower socio-economic backgrounds (n=12792),0.59
Hostility/ Bullying,Intermediate backgrounds (n=5453),0.5
Hostility/ Bullying,Professional backgrounds (n=18386),0.45
Hostility/ Bullying,34 or under (n=11425),0.51
Hostility/ Bullying,35 - 44 (n=11678),0.62
Hostility/ Bullying,45 or over (n=18004),0.46
Hostility/ Bullying,White - British (n=32944),0.47
Hostility/ Bullying,All other ethnic groups (n=8183),0.75
Hostility/ Bullying,Has a disability (n=3902),1.31
Hostility/ Bullying,Does not have a disability (n=35809),0.41
Hostility/ Bullying,"Bi, Gay or Lesbian (n=1736)",1.18
Hostility/ Bullying,Heterosexual/Straight (n=38432),0.46
Hostility/ Bullying,Christian denominations (n=19123),0.48
Hostility/ Bullying,No religion (n=17823),0.48
Hostility/ Bullying,All other religions (n=2813),0.56
Hostility/ Bullying,Women (n=23113),0.49
Hostility/ Bullying,Men (n=18573),0.53
Hostility/ Bullying,Permanent full-time (n=36548),0.58
Hostility/ Bullying,Permanent part-time (n=6773),0.35
Speaking up repercussions,Lower socio-economic backgrounds (n=12792),0.64
Speaking up repercussions,Intermediate backgrounds (n=5453),0.37
Speaking up repercussions,Professional backgrounds (n=18386),0.5
Speaking up repercussions,34 or under (n=11425),0.46
Speaking up repercussions,35 - 44 (n=11678),0.69
Speaking up repercussions,45 or over (n=18004),0.42
Speaking up repercussions,White - British (n=32944),0.49
Speaking up repercussions,All other ethnic groups (n=8183),0.62
Speaking up repercussions,Has a disability (n=3902),1.26
Speaking up repercussions,Does not have a disability (n=35809),0.42
Speaking up repercussions,"Bi, Gay or Lesbian (n=1736)",1.27
Speaking up repercussions,Heterosexual/Straight (n=38432),0.47
Speaking up repercussions,Christian denominations (n=19123),0.49
Speaking up repercussions,No religion (n=17823),0.52
Speaking up repercussions,All other religions (n=2813),0.47
Speaking up repercussions,Women (n=23113),0.54
Speaking up repercussions,Men (n=18573),0.5
Speaking up repercussions,Permanent full-time (n=36548),0.58
Speaking up repercussions,Permanent part-time (n=6773),0.44
Unfairness in promotion/progression,Lower socio-economic backgrounds (n=12792),0.87
Unfairness in promotion/progression,Intermediate backgrounds (n=5453),0.71
Unfairness in promotion/progression,Professional backgrounds (n=18386),0.49
Unfairness in promotion/progression,34 or under (n=11425),0.61
Unfairness in promotion/progression,35 - 44 (n=11678),0.74
Unfairness in promotion/progression,45 or over (n=18004),0.56
Unfairness in promotion/progression,White - British (n=32944),0.58
Unfairness in promotion/progression,All other ethnic groups (n=8183),0.83
Unfairness in promotion/progression,Has a disability (n=3902),1.77
Unfairness in promotion/progression,Does not have a disability (n=35809),0.5
Unfairness in promotion/progression,"Bi, Gay or Lesbian (n=1736)",1.1
Unfairness in promotion/progression,Heterosexual/Straight (n=38432),0.59
Unfairness in promotion/progression,Christian denominations (n=19123),0.61
