group,variable,value,,,,
No negative consequences,White - British,0.501794068,,,,
No negative consequences,Asian / Asian British,0.917673341,,,,
No negative consequences,White – Other,0.451196867,,,,
No negative consequences,Mixed / Multiple ethnic group,0.399309155,,,,
No negative consequences,Black / Black British,0.756466733,,,,
No negative consequences,With a disability,0.023678836,,,,
No negative consequences,Without a disability,0.971658811,,,,
No negative consequences,"Bi, Gay or Lesbian",0.635661567,,,,
No negative consequences,Heterosexual/Straight,0.245029027,,,,
No negative consequences,Female,0.354069258,,,,
No negative consequences,Male,0.836580506,,,,
No negative consequences,Line manager,0.619670077,,,,
No negative consequences,Non-line manager,0.226705213,,,,
No negative consequences,Customer facing,0.510172873,,,,
No negative consequences,Non-customer facing,0.072488559,,,,
No negative consequences,Permanent full-time,0.677652533,,,,
No negative consequences,Permanent part-time,0.931595353,,,,
No negative consequences,Fixed term contractor,0.607407076,,,,
No negative consequences,Working primarily from home,0.156853493,,,,
No negative consequences,Working primarily on-site,0.066531937,,,,
No negative consequences,Splite between home and on-site,0.621140953,,,,
No negative consequences,No religion,0.4583819,,,,
No negative consequences,Christianity,0.230320653,,,,
No negative consequences,Minority religions in the UK,0.749031463,,,,
No negative consequences,Lower socio-economic backgrounds,0.306915743,,,,
No negative consequences,Intermediate backgrounds,0.731951108,,,,
No negative consequences,Professional backgrounds,0.008981132,,,,
No negative consequences,24 or under,0.293328696,,,,
No negative consequences,25 - 34,0.404772485,,,,
No negative consequences,35 - 44,0.7318417,,,,
No negative consequences,45 - 54,0.435863571,,,,
No negative consequences,55 - 64,0.345588653,,,,
No negative consequences,65 or over,0.62056284,,,,
Customer support difficulties,White - British,0.732263559,,,,
Customer support difficulties,Asian / Asian British,0.03990421,,,,
Customer support difficulties,White – Other,0.317902379,,,,
Customer support difficulties,Mixed / Multiple ethnic group,0.097037595,,,,
Customer support difficulties,Black / Black British,0.396472948,,,,
Customer support difficulties,With a disability,0.505160275,,,,
Customer support difficulties,Without a disability,0.805823663,,,,
Customer support difficulties,"Bi, Gay or Lesbian",0.770138108,,,,
Customer support difficulties,Heterosexual/Straight,0.592286449,,,,
Customer support difficulties,Female,0.97072661,,,,
Customer support difficulties,Male,0.247398894,,,,
Customer support difficulties,Line manager,0.281084696,,,,
Customer support difficulties,Non-line manager,0.685959363,,,,
Customer support difficulties,Customer facing,0.22935834,,,,
Customer support difficulties,Non-customer facing,0.691907183,,,,
Customer support difficulties,Permanent full-time,0.623317736,,,,
Customer support difficulties,Permanent part-time,0.201175931,,,,
Customer support difficulties,Fixed term contractor,0.764107845,,,,
Customer support difficulties,Working primarily from home,0.801092541,,,,
Customer support difficulties,Working primarily on-site,0.48303992,,,,
Customer support difficulties,Splite between home and on-site,0.731296665,,,,
Customer support difficulties,No religion,0.576787623,,,,
Customer support difficulties,Christianity,0.719189332,,,,
Customer support difficulties,Minority religions in the UK,0.725701701,,,,
Customer support difficulties,Lower socio-economic backgrounds,0.043759723,,,,
Customer support difficulties,Intermediate backgrounds,0.058879433,,,,
Customer support difficulties,Professional backgrounds,0.492919335,,,,
Customer support difficulties,24 or under,0.510282926,,,,
Customer support difficulties,25 - 34,0.023507904,,,,
Customer support difficulties,35 - 44,0.077675252,,,,
Customer support difficulties,45 - 54,0.452247421,,,,
Customer support difficulties,55 - 64,0.836298646,,,,
Customer support difficulties,65 or over,0.462158907,,,,
Communication / decision-making issues,White - British,0.918574287,,,,
Communication / decision-making issues,Asian / Asian British,0.382330525,,,,
Communication / decision-making issues,White – Other,0.573661779,,,,
Communication / decision-making issues,Mixed / Multiple ethnic group,0.688540771,,,,
Communication / decision-making issues,Black / Black British,0.50069211,,,,
Communication / decision-making issues,With a disability,0.45190864,,,,
Communication / decision-making issues,Without a disability,0.151618777,,,,
Communication / decision-making issues,"Bi, Gay or Lesbian",0.51881242,,,,
Communication / decision-making issues,Heterosexual/Straight,0.780959162,,,,
Communication / decision-making issues,Female,0.042095643,,,,
Communication / decision-making issues,Male,0.962932505,,,,
Communication / decision-making issues,Line manager,0.724924236,,,,
Communication / decision-making issues,Non-line manager,0.505393706,,,,
Communication / decision-making issues,Customer facing,0.667621206,,,,
Communication / decision-making issues,Non-customer facing,0.340783747,,,,
Communication / decision-making issues,Permanent full-time,0.143239451,,,,
Communication / decision-making issues,Permanent part-time,0.340236269,,,,
Communication / decision-making issues,Fixed term contractor,0.358594328,,,,
Communication / decision-making issues,Working primarily from home,0.456589566,,,,
Communication / decision-making issues,Working primarily on-site,0.223242504,,,,
Communication / decision-making issues,Splite between home and on-site,0.195966792,,,,
Communication / decision-making issues,No religion,0.862002756,,,,
Communication / decision-making issues,Christianity,0.126375088,,,,
Communication / decision-making issues,Minority religions in the UK,0.286084364,,,,
Communication / decision-making issues,Lower socio-economic backgrounds,0.241970791,,,,
Communication / decision-making issues,Intermediate backgrounds,0.120037456,,,,
Communication / decision-making issues,Professional backgrounds,0.561581194,,,,
Communication / decision-making issues,24 or under,0.035347318,,,,
Communication / decision-making issues,25 - 34,0.197321258,,,,
Communication / decision-making issues,35 - 44,0.865633637,,,,
Communication / decision-making issues,45 - 54,0.604970769,,,,
Communication / decision-making issues,55 - 64,0.831309873,,,,
Communication / decision-making issues,65 or over,0.727010178,,,,
Diminished socialising / mental wellbeing,White - British,0.890513214,,,,
Diminished socialising / mental wellbeing,Asian / Asian British,0.519694617,,,,
Diminished socialising / mental wellbeing,White – Other,0.185162578,,,,
Diminished socialising / mental wellbeing,Mixed / Multiple ethnic group,0.997408306,,,,
Diminished socialising / mental wellbeing,Black / Black British,0.678275988,,,,
Diminished socialising / mental wellbeing,With a disability,0.161102165,,,,
Diminished socialising / mental wellbeing,Without a disability,0.149552887,,,,
Diminished socialising / mental wellbeing,"Bi, Gay or Lesbian",0.360656037,,,,
Diminished socialising / mental wellbeing,Heterosexual/Straight,0.280844582,,,,
